"company","scooters_in_low_income_low_car_ownership","scooters_in_low_income","scooters_in_low_car_ownership","total_scooters","  both  ","  income  ","  car ownership  "
"Bird",38,43,208,392,0.0969387755102041,0.10969387755102,0.530612244897959
"Bolt",17,17,49,118,0.144067796610169,0.144067796610169,0.415254237288136
"Lime",43,47,250,495,0.0868686868686869,0.094949494949495,0.505050505050505
"Lyft",42,52,207,624,0.0673076923076923,0.0833333333333333,0.331730769230769
"Skip",34,35,343,641,0.0530421216848674,0.0546021840873635,0.535101404056162
"Spin",59,67,274,543,0.10865561694291,0.123388581952118,0.504604051565378
"All Companies",233,261,1331,2813,0.082829719161038,0.0927835051546392,0.473160327052968
